username,repo_name,stars,repo_url
bitwarden,server,15300,https://github.com/bitwarden/server
abpframework,abp,12800,https://github.com/abpframework/abp
dotnet,AspNetCore.Docs,12600,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,11800,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,9200,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7300,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,7100,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6700,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,4500,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,3000,https://github.com/dotnet/aspnet-api-versioning
mjebrahimi,Awesome-Microservices-DotNet,2700,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
loic-sharma,BaGet,2600,https://github.com/loic-sharma/BaGet
serenity-is,Serenity,2600,https://github.com/serenity-is/Serenity
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
milanm,DotNet-Developer-Roadmap,2000,https://github.com/milanm/DotNet-Developer-Roadmap
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
MarimerLLC,csla,1300,https://github.com/MarimerLLC/csla
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
smartstore,Smartstore,1200,https://github.com/smartstore/Smartstore
