username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,200000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,175000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,59200,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,54600,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,51000,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,44500,https://github.com/x64dbg/x64dbg
WerWolv,ImHex,44100,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,39000,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,37000,https://github.com/ClickHouse/ClickHouse
huihut,interview,34600,https://github.com/huihut/interview
carbon-language,carbon-lang,32200,https://github.com/carbon-language/carbon-lang
doocs,leetcode,31200,https://github.com/doocs/leetcode
CMU-Perceptual-Computing-Lab,openpose,31000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,30300,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,29600,https://github.com/microsoft/calculator
aseprite,aseprite,29000,https://github.com/aseprite/aseprite
dragonflydb,dragonfly,25500,https://github.com/dragonflydb/dragonfly
gabime,spdlog,24100,https://github.com/gabime/spdlog
changkun,modern-cpp-tutorial,24000,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,23100,https://github.com/ethereum/solidity
